width,spacing,Cc_100u,Ct_100u,R_100u
0.1e-06,0.1e-06,9.65e-15,2.05e-14,140.758324952
0.1e-06,0.2e-06,7.36e-15,1.62e-14,84.35445331052
0.1e-06,0.3e-06,5.33e-15,1.24e-14,79.02574529448
0.1e-06,0.4e-06,4.25e-15,1.04e-14,78.32195366972
0.1e-06,0.5e-06,3.58e-15,9.26e-15,78.22141200904
0.1e-06,1e-06,2.04e-15,6.92e-15,78.02032868768
0.2e-06,0.1e-06,8.92e-15,1.93e-14,65.8547877454
0.2e-06,0.2e-06,5.87e-15,1.34e-14,64.8493711386
0.2e-06,0.3e-06,4.56e-15,1.1e-14,64.3466628352
0.2e-06,0.4e-06,3.81e-15,9.72e-15,64.3466628352
0.2e-06,0.5e-06,3.29e-15,8.85e-15,64.3466628352
0.2e-06,1e-06,1.97e-15,6.92e-15,63.8439545318
0.3e-06,0.1e-06,8.91e-15,1.95e-14,40.216664272
0.3e-06,0.2e-06,6.08e-15,1.4e-14,39.2112476652
0.3e-06,0.3e-06,4.79e-15,1.17e-14,38.8761087962667
0.3e-06,0.4e-06,4.03e-15,1.03e-14,38.8761087962667
0.3e-06,0.5e-06,3.43e-15,9.3e-15,38.8761087962667
0.3e-06,1e-06,2.1e-15,7.36e-15,38.5409699273333
0.4e-06,0.1e-06,9.09e-15,2e-14,28.6543732938
0.4e-06,0.2e-06,6.27e-15,1.46e-14,28.1516649904
0.4e-06,0.3e-06,4.97e-15,1.22e-14,27.9003108387
0.4e-06,0.4e-06,4.2e-15,1.08e-14,27.648956687
0.4e-06,0.5e-06,3.65e-15,9.9e-15,27.648956687
0.4e-06,1e-06,2.21e-15,7.77e-15,27.648956687
0.5e-06,0.1e-06,9.4e-15,2.08e-14,21.91808202824
0.5e-06,0.2e-06,6.48e-15,1.52e-14,21.71699870688
0.5e-06,0.3e-06,5.14e-15,1.27e-14,21.51591538552
0.5e-06,0.4e-06,4.34e-15,1.13e-14,21.51591538552
0.5e-06,0.5e-06,3.79e-15,1.04e-14,21.31483206416
0.5e-06,1e-06,2.32e-15,8.16e-15,21.31483206416
1e-06,0.1e-06,9.62e-15,2.22e-14,12.0649992816
1e-06,0.2e-06,6.86e-15,1.69e-14,11.96445762092
1e-06,0.3e-06,5.54e-15,1.44e-14,11.96445762092
1e-06,0.4e-06,4.73e-15,1.3e-14,11.86391596024
1e-06,0.5e-06,4.16e-15,1.2e-14,11.86391596024
1e-06,1e-06,2.63e-15,9.7e-15,11.86391596024
